"","p1","p2"
"C_10",-0.0344359836862497,-2.53632349255597
"C_100",1.61571626166242,-1.69074456802108
"C_101",2.24303334829965,-2.92226484076641
"C_102",2.55292276001798,-1.05063589342498
"C_103",-1.4806932714171,-2.84858167930264
"C_104",2.11674487169293,-0.899121255223999
"C_105_1",-1.92194051331173,-3.58670432607986
"C_105_2",2.3230440616564,-1.4635928648102
"C_107",2.61064311340469,-1.92579480587963
"C_108",2.73906748125745,-1.69143944015114
"C_109",-1.38028388514651,-3.46617217425403
"C_11",2.52910644547866,-2.54618446638814
"C_110",2.9504923338217,-1.35569154673219
"C_112",1.15772939866154,-1.94498694813255
"C_113",3.23531832364872,-0.990650392217678
"C_115",2.26731156176381,-2.10945235941163
"C_117",1.35813282738531,-1.03790677755541
"C_12",2.50288922283502,-1.40825702922264
"C_120_1",-1.14426856373273,-3.97330546635195
"C_120_2",1.74648592961399,-1.44738990080651
"C_140",2.25446274575339,-1.30850716117036
"C_142",3.45622181689963,-2.10049070418093
"C_15",-1.17445096099302,-3.56865078124539
"C_157",1.30021175270174,-1.79996816822595
"C_161",2.53874149334274,-1.38022082651824
"C_163",2.46225088383438,-1.49205612406394
"C_168",-0.905166142648658,-3.00044454656326
"C_176",2.30117366403356,-1.74179700090811
"C_177",0.0780032454755264,-1.40134715275352
"C_18",-1.35432538296074,-3.79408678567717
"C_183",1.48584605954617,-1.69044624935794
"C_190",-0.168612653866636,-4.01168237764285
"C_193",-1.66097937972064,-2.57193848038354
"C_194",2.59543835848644,-0.725981566416292
"C_197",2.25714435459118,-1.17890719136252
"C_21",0.0269410505271726,-3.72167086108675
"C_22",2.97838374225873,-1.73010752244119
"C_220",-0.457957320190124,-3.30544545392312
"C_223",3.17297160037427,-1.63036419497494
"C_231",2.7328496032398,-1.09833859090401
"C_236",0.745444823378153,-3.2018120415029
"C_243",2.51738228653076,-1.71283073936808
"C_248",2.5155951107242,-1.27447400351695
"C_253",2.12719529153829,-2.27161964185843
"C_258",2.44961621783296,-1.98081347922605
"C_26",2.97047226544647,-1.67539351608683
"C_265",3.09071687265101,-1.77131953738274
"C_272",2.80068303718342,-1.8016708474417
"C_274",2.6172701108028,-0.904977576489026
"C_284",1.37441413147135,-1.4860070326368
"C_288",2.02521993889668,-1.45597579420294
"C_29",-1.43230495428546,-2.365983679749
"C_297",2.43531018142702,-0.909676471935983
"C_3",0.0312977165536183,-3.72871764112633
"C_30",2.46094016090834,-2.10743666181916
"C_313",-1.28343507734047,-3.20710746217611
"C_33_1",-1.46180276118786,-2.42426542184129
"C_33_2",2.40598177955383,-1.14716538607914
"C_34",3.03334772416724,-1.29318837732849
"C_42",2.5141291968492,-1.87097796196539
"C_43",-1.31076153508935,-2.56080014836514
"C_45",2.51542749579184,-0.871322354964024
"C_47",1.92116096407149,-1.59103139053984
"C_48",2.85208192556264,-1.85093391441386
"C_5",-1.36601376466175,-3.6452776874393
"C_50",1.69804722904193,-1.71596754235873
"C_51",1.83955207938835,-1.54417119265701
"C_54",-0.654922403153618,-2.15128838053926
"C_55_1",3.46682733060131,-1.51752837469073
"C_55_2",-1.57990718216735,-2.43692933387364
"C_56",-1.27224486129366,-2.01769121920518
"C_57",2.55929799093958,-1.41910380163616
"C_58",1.90059117257813,-0.230759979313955
"C_59",1.18721818810494,-1.52668562501406
"C_6",3.22449253013264,-2.15917275281963
"C_60",2.881266117344,-1.64734845083762
"C_62",2.24003589452869,-1.86050472754046
"C_67",2.90503184619932,-1.60768491257834
"C_68",2.50927829033138,-2.06264402766323
"C_69",2.24123953937024,-0.723819900066297
"C_7",2.38485312817481,-2.58032212061695
"C_70",2.9575654526417,-0.640415852436864
"C_72",-1.44733583107088,-3.49159670435627
"C_73_1",2.37853159968808,-2.05600623154626
"C_73_2",-0.762589171948979,-2.3997027468519
"C_74",2.48435241640918,-1.52623120796215
"C_75_1",-1.4607640952108,-2.36370738670965
"C_75_2",4.33814695814919,-2.72862344179518
"C_77",-1.5701925503526,-3.23207677303503
"C_81",2.93779165117381,-2.02670911385362
"C_87",1.81136987068147,-0.939267412243204
"C_88",-1.04914030960913,-3.57331650833025
"C_89_1",1.83178546755936,-1.59598027659977
"C_89_2",2.23235707717377,-2.37269825574758
"C_90",2.70727837959275,-1.74035899113522
"C_91",-1.17051696514653,-2.43967899778794
"C_93",2.60263678856822,-1.6369946047315
