,barcode,n_genes,percent_mito,n_counts,desc_0.8,max.prob0.8
GSM1594367,GSM1594367,43799,0.0,200184.8,0,0.25876597
GSM1594368,GSM1594368,43799,0.0,203084.66,9,0.57408583
GSM1594369,GSM1594369,43799,0.0,201482.72,4,0.51053745
GSM1594370,GSM1594370,43799,0.0,201040.52,2,0.5298465
GSM1594371,GSM1594371,43799,0.0,203401.78,2,0.34578788
GSM1594372,GSM1594372,43799,0.0,200609.31,2,0.53604645
GSM1594373,GSM1594373,43799,0.0,202402.56,4,0.5012246
GSM1594374,GSM1594374,43799,0.0,201064.17,2,0.53321064
GSM1594375,GSM1594375,43799,0.0,199857.92,2,0.5279841
GSM1594376,GSM1594376,43799,0.0,200066.23,2,0.534314
GSM1594377,GSM1594377,43799,0.0,200991.36,9,0.5504096
GSM1594378,GSM1594378,43799,0.0,201059.61,9,0.5560364
GSM1594379,GSM1594379,43799,0.0,194744.81,12,0.19622481
GSM1594380,GSM1594380,43799,0.0,199776.97,9,0.55224746
GSM1594381,GSM1594381,43799,0.0,198395.56,2,0.53516287
GSM1594382,GSM1594382,43799,0.0,201498.84,9,0.54777825
GSM1594383,GSM1594383,43799,0.0,197597.3,13,0.5323745
GSM1594384,GSM1594384,43799,0.0,199784.67,0,0.44859862
GSM1594385,GSM1594385,43799,0.0,199213.98,8,0.5506947
GSM1594386,GSM1594386,43799,0.0,201054.75,0,0.40718335
GSM1594387,GSM1594387,43799,0.0,204128.69,9,0.547333
GSM1594388,GSM1594388,43799,0.0,200225.45,0,0.41507572
GSM1594389,GSM1594389,43799,0.0,201802.89,0,0.19731136
GSM1594390,GSM1594390,43799,0.0,203005.19,13,0.52900285
GSM1594391,GSM1594391,43799,0.0,202171.3,0,0.42496482
GSM1594392,GSM1594392,43799,0.0,202718.72,4,0.5107346
GSM1594393,GSM1594393,43799,0.0,199538.77,5,0.3984422
GSM1594394,GSM1594394,43799,0.0,200078.34,6,0.37159082
GSM1594395,GSM1594395,43799,0.0,201711.89,2,0.5341398
GSM1594396,GSM1594396,43799,0.0,200547.73,0,0.17790289
GSM1594397,GSM1594397,43799,0.0,200490.62,12,0.5951045
GSM1594398,GSM1594398,43799,0.0,200692.75,0,0.3279172
GSM1594399,GSM1594399,43799,0.0,202357.06,6,0.3774483
GSM1594400,GSM1594400,43799,0.0,201417.55,1,0.28510132
GSM1594401,GSM1594401,43799,0.0,198874.78,13,0.52525604
GSM1594402,GSM1594402,43799,0.0,199462.75,4,0.5066944
GSM1594403,GSM1594403,43799,0.0,199447.78,4,0.49177945
GSM1594404,GSM1594404,43799,0.0,200838.45,5,0.49390048
GSM1594405,GSM1594405,43799,0.0,199985.25,2,0.52821755
GSM1594406,GSM1594406,43799,0.0,199233.81,11,0.52372193
GSM1594407,GSM1594407,43799,0.0,199515.67,5,0.5154522
GSM1594408,GSM1594408,43799,0.0,202298.84,4,0.50426024
GSM1594409,GSM1594409,43799,0.0,201746.78,2,0.53318363
GSM1594410,GSM1594410,43799,0.0,200559.44,2,0.52783513
GSM1594411,GSM1594411,43799,0.0,201004.88,2,0.517598
GSM1594412,GSM1594412,43799,0.0,201086.86,4,0.5108818
GSM1594413,GSM1594413,43799,0.0,199794.44,8,0.53024787
GSM1594414,GSM1594414,43799,0.0,198765.66,13,0.53094995
GSM1594415,GSM1594415,43799,0.0,201751.44,4,0.5101725
GSM1594416,GSM1594416,43799,0.0,201849.34,2,0.5350384
