	N1260_1_1	N1261_1_1	N1262_1_1	N1263_1_1	N1264_1_1	N1265_1_1	N1266_1_1	N1267_1_1	N1268_1_1	N1269_1_1	N1270_1_1	N1271_2_2	N1272_2_2	N1273_2_2	N1274_2_2	N1275_1_1	N1276_1_1	N1277_1_1	N1279_2_2	N1280_2_2	N1282_2_2	N1283_2_2	N1284_2_2	N1285_1_1	N1286_2_2	N1287_1_1	N1288_2_2	N1290_2_2	N1291_2_2	N1292_2_2	N1293_2_2	N1294_2_2	N1295_1_1	N1296_1_1	N1297_2_2	N1298_2_2	N1299_2_2	N1300_2_2	N1301_2_2	N1302_2_2	N1307_1_1	N1308_1_1	N1309_2_2	CD6582_2_2	CD6584_1_1	CD6586_1_1	CD6591_2_2	CD6594_2_2	CD6595_1_1	CD6598_1_1	CD6601_1_1	CD6604_2_2	CD6608_2_2	CD6610_2_2	CD6620_1_1	CD6636_1_1	CD6643_1_1	CD6644_1_1	CD6645_1_1	CD6647_1_1	CD6649_1_1	CD6650_1_1	CD6651_1_1	CD6654_1_1	CD6657_1_1	CD6700_1_1	CD6703_1_1	CD6716_2_2	CD6722_1_1	CD6733_1_1	CD8049_2_2	CD8051_2_2	CD8059_2_2	CD8117_2_2	CD8118_2_2	CD8119_2_2	CD8122_2_2	CD8144_2_2	CD8145_1_1	CD8149_2_2	CD8185_2_2	CD8196_2_2	CD8197_2_2	CD8203_2_2	CD8211_2_2	CD8212_2_2	CD8234_2_2	CD8239_2_2	CD8243_2_2	CD8257_2_2	CD8264_2_2	CD8305_2_2	CD8313_2_2	CD8321_2_2	CD8330_2_2	CD8331_2_2	CD8350_2_2	CD8355_2_2	CD8367_2_2	CD8368_2_2	CD8376_2_2	CD8380_2_2
B101	1.41037904	1.908951576	1.169779629	1.9720447	1.501548846	0.942012432	1.104757312	0.767325367	1.211109502	0.940427162	1.325139763	0.677098844	0.968072979	0.820622212	1.668218665	1.710948084	1.44842495	1.146897179	0.986826434	0.471642497	0.949339394	1.034818395	1.110750712	1.176803374	0.942259818	0.845582291	1.285491682	0.791001341	1.944004325	1.019139232	0.802432981	0.970209753	0.709949766	0.975990648	0.745601335	1.294269842	1.010519655	0.68543093	0.439628992	0.944270141	1.494587344	0.729488378	1.050475948	0.689066922	0.747470323	0.540814048	0.688919037	0.611230709	0.774623154	0.93613282	0.870196734	0.861652999	0.788592484	0.888385425	0.895918719	0.794936284	0.750590912	0.675964193	0.812344382	0.968550705	0.833999738	0.801580963	0.908929186	0.693971363	0.784183912	0.553704206	0.926363991	0.696117766	0.851242843	0.803834357	0.672614273	0.807666364	0.783650131	0.566869641	0.856154684	1.072803459	0.727083552	1.061912445	0.939209369	0.803601231	0.744804828	0.696464335	0.552916069	0.649767137	0.811038462	0.942349824	0.599749946	0.90240142	0.88600969	1.256722073	0.745362724	0.754116345	0.789989346	0.749267346	0.792979873	0.899536999	0.741715991	0.679962197	0.874653986	0.832291333	0.812862918	0.740060341
B102	0.417422942	0.238609658	0.12449974	0.044207667	0.273865146	0.048104708	0.275203582	0.040136362	0.046327478	0.0803258	0.237721929	0.171536089	0.113129348	2.190722644	0.356166852	0.073829053	0.164181485	0.269155986	0.182187372	0.108606768	0.128835311	0.389431305	0.174273209	0.158535805	0.195366701	0.27727637	0.074934716	0.16052044	1.208129539	0.320724584	0.0413845	0.167063862	0.167113719	0.200856005	0.065432234	0.392262215	0.460845262	0.132508018	0.310523602	0.241183509	1.248326911	0.145283365	0.066170969	0.197437456	0.426631404	1.399823796	0.422336583	1.213261672	0.056787551	3.707639859	0.446816145	0.460560406	0.311047135	0.821851863	15.33436246	0.289145699	0.144441072	0.123157845	0.678083575	0.540168452	0.173710836	0.711192447	3.146928709	0.415248732	0.247878436	2.139737672	0.218121601	0.216267046	2.389267859	0.860058277	2.491270191	0.219516918	4.001143922	4.975418873	1.995976145	0.102984398	0.620269143	0.725234885	2.187304321	2.580933367	4.501189651	2.612928362	1.545154522	4.350884933	1.014776697	0.346022339	4.424141454	2.853673407	0.297155969	1.860707433	0.230836281	0.844784821	2.645944811	0.247009698	0.873920517	3.992046834	0.549482814	0.641824814	2.623363995	0.20595902	0.316745029	0.855529758
B103	0.556289333	0.956239265	1.033432865	0.210014175	0.531430521	0.648768269	0.258270198	0.821587649	0.600028885	0.055054467	0.73973889	0.185655805	0.240723616	0.218270015	0.796840777	0.597361143	0.76573184	1.712768405	0.487144029	0.241098183	0.459116306	1.168132077	0.869507996	1.074744668	0.226431495	0.59457675	0.90621208	0.740755865	0.281482364	0.458723983	0.416675731	0.428786843	0.98072118	0.615942824	0.532008936	1.147552227	1.155662325	1.620256561	1.751599287	0.344965397	0.943012145	0.950613959	0.280537403	0.68482564	1.24620428	8.853317901	0.817581029	1.773199141	0.681708252	0.566473439	0.872398201	1.277109022	0.499530739	1.39689017	0.832969941	1.019861586	0.25668448	0.731465884	0.312949095	0.229688502	1.153491671	3.934118007	0.779053883	1.722275364	0.329784712	0.466470589	2.65659818	0.730261414	0.974292365	1.189918635	0.517012791	1.163302023	0.477438961	0.287613231	0.479860967	0.43425751	1.546794647	2.048707581	1.081790653	0.669873613	1.161724726	1.346519356	0.361827302	0.805356385	0.736545803	0.268543902	2.154807164	0.311234992	1.663994414	2.277154036	0.817642735	1.193305995	0.603335805	0.655923059	0.878878401	0.529156479	1.719568099	1.1481546	1.906784734	0.871404965	8.120936632	2.310639063
B104	0.091957113	0.00567119	0.07374066	0.013161596	0.0593262	0.068487907	0	0.013839357	0.010835005	0.018193541	0.028151456	0.019328645	0.032634256	2.40390524	0.028773225	0.01051648	0.070761012	0.019920857	0.006583169	0.00742092	1.028751229	0.037683613	0.002737273	0.003768298	0.017062453	0.069957335	0.035837378	0.035240003	0.081212197	0.011532822	0.056122733	0.104792369	0.022050679	0.008449666	0.259918778	0.029116691	0.043580042	0.036189792	0.016628756	0.013777097	0	0.042286429	0.031837754	0.046913147	0.013755709	4.648816499	0.013704585	3.378353841	0.001675433	2.87528097	0.622634175	1.23987485	0.090999165	0.930889011	0.775969381	0.164959366	0.10253817	0.195957701	0.582133719	1.019304328	0.166044596	0.965441808	1.640805925	0.45298892	0.516041973	1.098432314	0.056540127	0.01836816	4.127651566	0.470493693	2.324925781	0.013293806	4.688821975	5.223874629	2.641634353	0.022892507	0.548413022	1.148249629	1.411652225	0.101958806	4.247197009	1.939896819	2.275735304	2.234117012	1.491146239	0.561025978	3.412567945	2.07600126	0.024434329	1.159871784	0.499951137	0.879660778	3.559675166	0.053062562	1.067257411	3.743074021	0.761050957	1.347171007	1.755334196	0.540699813	0.719017583	0.718290884
B105	0.005268921	0.029556172	0	0	0.019145703	0.271544515	0.791951721	0.02348166	0.010795323	0	0.095608415	4.026079581	0.016249334	0.013780926	0.030044651	0.145008651	0	0.065560293	0.039773789	0.031301541	0.008631945	0	0.004970125	0.002908779	0	0	0.018553524	0.018498706	0	0	0.007779279	0.034665314	0	0.20413932	0.017671797	0.074591308	0.027592207	0.115007593	0	0.024446068	0.009579185	0.018874419	0.02163625	2.152862676	0.0601101	3.364113321	4.358215763	1.026584112	2.721657484	0.867816091	1.101617984	0.258865212	0.641834	3.22359444	2.811413082	4.867266596	0.872093306	1.38655009	13.47817278	0.062557202	4.055485065	0.111442093	1.143956623	1.678126223	0.019944232	0.215230028	0.778770219	3.512556509	0.159522384	0.013739353	2.334367565	0.91310037	1.033895671	0	2.761710532	0.028124662	0.132801773	1.066323754	0.102986956	0.23661756	3.403886886	0.206795495	0.416675228	4.35013385	0.833969484	0.787973466	0.09291617	1.084689041	12.03531196	1.109669422	0.040000876	1.685528945	0.640756277	0	3.031768066	0.194172032	3.461329408	2.785355354	1.626139215	0.327165135	3.188407512	5.327115995
B106	0	0	0	0	0	0.004394488	0.077766443	0	0	0	0	0.009592308	0	0	0.004620315	0	0	0.011709413	0.005932495	0.000985508	0.002847191	0	0.003478792	0	0	0	0.016647649	0	0	0	0.000969569	0.002188852	0	0	0	0	0.02230829	0	0	0.002865436	0	0	0.00167984	2.794241527	0.172251443	2.216805235	1.771717495	0.073843562	1.329436085	4.841794181	0.196053369	0.093688159	1.820584829	2.776144885	2.436320765	2.550122112	1.513543507	2.627969113	1.541769579	0.381730479	3.11585053	0.039113788	2.477092913	0.658811783	0.098476568	0.083169741	1.024300915	3.526936444	0.302006711	0.036067859	0.579731792	1.555841853	2.968123696	0	4.208411475	0.005297787	0.045572457	0.844026997	0.21371969	0.081326408	4.950409319	4.14555203	1.999744768	7.200579734	0.844541008	2.203776501	0.132509148	0.57105185	0.990814349	0.845245836	0.130333056	1.88659899	0.566612896	0	1.187836248	0.513637453	3.184104975	3.995742068	1.769604694	0.218329227	1.085198402	1.974102575
B107	0.27077552	2.832062647	0.067406031	0.323970492	0.694824256	0.74440113	2.356841485	0.757563699	0.062678768	0.671323803	0.123140456	0.194220607	0.645617854	0.019277546	1.636826889	0.772228642	0.263026961	0.805024451	0.613219485	1.0064578	0.017642001	1.011229871	0.002886173	0.302170794	0.058991011	0.196262652	1.019701329	0.040945968	0.880379885	0.035966963	0.141885258	0.806680067	0.029171078	1.381473366	0.355751597	0	1.707416207	2.512439141	0.094263593	1.508048084	2.229943618	1.022071292	0.028782485	2.39715723	0.112821803	0.268199503	14.16951631	0.094935499	0.121469976	1.094384446	0.576375535	0.067218339	0.222318031	11.1246241	2.215635262	0.419766764	14.60246761	1.237366762	9.576526894	0.114775352	0.576150358	0.595540295	1.540463013	10.45621148	0.909928162	0.835607691	5.581648738	0.799776769	2.068987458	0.822373065	2.234162585	0.574914365	1.997073168	1.39042288	0.366934916	0.909519778	1.757092337	1.990146872	0.089102566	0.060419313	3.47041377	1.093881701	1.306844811	1.107568081	9.46340235	3.539422232	1.290648335	1.04246256	3.402916848	0.062935367	0.139632745	8.965926572	0.481792467	0.073907163	0.855971859	1.904532971	7.579287833	4.399569632	0.391563288	1.035772972	2.192794407	0.65762444
B108	0.056316498	0.044252927	0.029950382	0.011695203	0.019890013	0.041405061	0.242124223	0.005173727	0.003930987	0.002781458	0.001485995	0.01458424	0.006776638	0.005473266	0.022563516	0.008814853	0.028934144	0.070393201	0.01582534	0.006268422	0.0025277	0.017649343	0.072495801	0.006120933	0.010646296	0.011545684	0.042178593	0.043178971	0.022179639	0.002029271	0	0.018261772	0.01287188	0.004409971	0.003708063	0.00134971	0.060894233	0.019105378	0.02370365	0.014774889	0.055222777	0.026013009	0.004655519	1.276045251	0.116140211	2.562221217	4.696608906	0.019897435	3.916391484	1.94945541	0.360852328	0.187356681	1.912819712	5.37572673	3.516213644	7.278477488	1.817004247	1.669739422	1.371023899	0.11081369	6.621098462	0.041588281	1.584039679	1.389023849	0.050647924	0.106309344	0.514899487	6.562582151	0.288341178	0.048181234	1.60609232	1.611850606	1.649465211	0.002852358	4.071941405	0.012916913	0.029860543	2.112947783	0.056641567	0.447099441	4.854951127	2.083218592	0.584583498	9.541762808	0.924151283	1.434264121	0.216292417	0.831720728	4.243242158	1.415751868	0.061048905	3.390748537	0.835678897	0.002739136	2.239154316	0.118300196	3.659941224	1.801590327	2.093704446	0.361403963	1.474076952	3.22221198
B109	0.095150443	0.009949751	0.013118162	0.009110602	0	0	0.106558156	0	0	0	0	0.006687514	0	0	0	0	0	0	0	0	0	0	0.009165679	0.008575642	0	0	0.013333532	0	0	0	0	0	0.03043543	0	0	0.010998896	0	0	0.009885164	0	0	0	0	2.181607026	0.1838511	3.029485776	2.299763592	0.014083048	1.464800011	5.652602608	0.203582926	0.03881142	1.529169681	3.421468928	2.3383964	4.143536634	2.137628186	4.538652219	2.541375257	0.333594981	3.530546195	0.063966978	2.347420249	0.650205213	0.114712921	0.078711599	0.800136325	3.074055125	0.445333314	0.018760891	0.653329742	2.192029601	2.535859895	0.009455607	4.393178027	0	0.012056263	1.793807526	0.175936651	0	6.499178791	4.791335756	2.204477436	8.633662336	1.24311229	1.803096279	0.106231555	0.510473694	1.617999111	1.087217344	0.079455252	3.151799689	0.443392043	0.019338079	1.264638863	0.613712954	2.836528137	2.280735556	2.248628979	0.251567323	2.847728121	4.298376912
B110	0.026862391	0.026376202	0	0.003143296	0.010017456	0.032867154	0.182369997	0.003472722	0.0016093	0.02197326	0.00445719	0	0.002185217	0.06623013	0	0	0.042111492	0.041193233	0.015198873	0.001796262	0.004436208	0.02870223	0.019828513	0	0.013593326	0	0.009109438	0.018584455	0	0.059020459	0.001624873	0.022790642	0	0.00398767	0.012005422	0.023878089	0.102638201	0.029701666	0.035550974	0.005320904	0.010604888	0	0.002448265	1.196230085	0.107918424	2.614083297	4.619447617	0.015863409	3.449709785	1.914871632	0.379800428	0.089102512	1.842690744	4.965215667	3.359262057	6.746396361	1.781909213	1.863149306	1.412726223	0.113690967	5.837603554	0.043845191	1.600923173	1.344310278	0.044529073	0.070238379	0.440087684	6.211828991	0.280358123	0.036419575	1.562901703	1.686862538	1.457891485	0.006094429	4.027089553	0.011468954	0.020585905	2.149934087	0.076734717	0.386859626	5.196381698	2.008918925	0.590471964	8.333904862	0.950553303	1.394940443	0.218147985	0.77427505	4.524667416	1.444336204	0.047635383	3.524446629	0.790866739	0.002759534	2.199084896	0.112893143	3.590418591	1.734560131	2.101291543	0.38434643	1.514554663	3.163055929
